Transformer-LSTM,BiLSTM,GRU,LSTM,RNN,Transformer,Informer,Transformer-BiLSTM
1679.922465,977.1485543,1329.837538,932.6104181,862.5151864,240.0715391,1662.422729,1282.330129
1147.14304,25.45362716,117.7604646,29.81445301,39.14993137,26.66690196,1007.906406,590.8237935
789.139513,23.32052972,45.83337908,27.00561821,30.63900363,26.35567185,595.9184694,357.7008544
508.1793936,22.76217592,44.33749751,27.04500894,114.0382209,26.01140713,312.4698641,212.9819421
298.842824,22.31199344,44.33267514,27.0517716,31.7488714,25.97350802,138.9580378,127.8492447
157.5686111,21.91276163,44.33495221,27.04560992,27.09494673,26.0099974,54.85350061,81.26695521
78.38669379,21.54285962,44.33692273,27.03555744,27.08715442,26.38274982,28.94386318,57.77328373
48.66634055,21.20366211,44.32874022,27.02527084,27.08083959,26.48155915,25.68844472,46.88766116
46.52923461,20.91005874,44.20780019,27.01546238,27.074019,26.64431755,24.44491582,42.23605677
51.15077237,20.67863099,44.14463112,27.00553197,27.06843929,26.62545254,23.7445229,40.37750623
41.31584293,20.51239351,44.06025256,26.99454578,27.06359613,26.6637567,23.45052888,39.66408393
41.69374055,20.39713708,46.73723621,26.98173849,27.05883915,26.69846121,23.05646583,39.39232968
39.28279413,20.3145056,42.61643248,26.96666883,27.05306686,26.68724012,22.25315766,39.28836765
33.83406027,20.25164921,40.59749729,26.94912022,27.04569078,26.72144604,21.74922334,39.25097733
30.91454562,20.20118666,39.01922224,26.92848386,27.0365299,26.75802963,21.76018145,39.24317273
28.12420936,20.15877923,37.41715546,26.90063786,27.02615329,26.75856781,21.14290967,39.24800918
27.05685557,20.12135353,35.88047331,26.84848396,27.01469701,26.76774769,21.2682997,39.2577659
26.38286158,20.08712271,34.21513788,26.86558259,27.00238443,26.7449183,20.66730839,39.24161533
25.76569836,20.05894557,32.01887226,26.79876682,26.99012435,26.7219139,20.3477171,33.73234605
25.74557358,20.04486531,29.73845241,26.84039857,26.97827206,26.62807866,19.84590838,33.98461689
25.16625051,20.01199624,28.76271621,26.8257444,26.96738002,26.54052643,20.13486364,32.55670829
24.66643652,19.99823531,27.56054772,26.7496007,26.95760072,26.51194334,19.15049908,28.9234456
24.25896285,19.96935042,26.95597743,26.63533015,26.9490067,26.72613478,19.52482633,27.87195549
24.0255886,19.94458679,26.36229712,26.49752644,26.94157011,26.69376752,18.90551571,27.15091938
23.49799695,19.96852165,26.02989655,26.3183417,26.93505242,26.73666457,19.31718723,26.29569463
23.02363659,19.91944972,25.41789314,25.96966544,26.92943644,26.6965906,18.92778715,25.55071345
