TRUE,LSTM,RNN,Transformer,GRU,BiLSTM,Transformer-LSTM,Informer,Transformer-BiLSTM
60.036,54.879696,55.067554,58.108208,58.250248,41.44242,56.754272,60.01919,58.347576
55.718,54.480522,55.067554,57.99213,58.85788,60.13421,63.766727,55.505833,53.742626
52.121,54.196724,55.06755,58.391754,60.246655,52.802547,65.84206,52.5889,52.94795
61.738,60.022697,55.067543,58.350166,64.15371,58.20424,57.34931,62.042866,61.09814
54.947,59.724537,55.067554,58.45693,59.951694,58.197525,61.10715,55.127438,54.75493
55.927,60.09886,55.06755,58.4567,62.033466,57.33686,58.227802,58.039227,58.0832
64.027,57.242474,55.06755,58.45663,62.254723,59.593933,54.428577,65.17873,62.56653
63.639,60.48613,55.067554,58.4586,62.72164,50.943,53.485725,63.308136,62.310505
60.267,56.984173,55.067554,58.458374,63.311424,57.523098,55.531853,60.158775,60.812725
61.607,60.118153,55.067554,58.48216,63.0327,58.268204,60.00607,59.606594,61.543697
60.171,57.13833,55.067554,58.482132,62.48711,51.93775,60.388298,59.49643,61.165516
56.774,43.918026,55.067554,58.433216,56.008453,51.542503,57.915825,55.98047,56.119156
55.427,53.343792,55.06755,58.47984,54.889957,53.332855,61.171494,55.888767,54.9729
62.154,58.32369,55.067543,58.46997,60.494343,59.753605,59.164845,61.42868,62.52797
61.981,53.817436,55.067554,58.46136,62.850605,60.247776,62.10299,61.028103,63.13203
57.115,56.937176,55.067554,58.480927,59.02427,46.949516,57.44871,57.02085,56.47839
58.779,58.254593,55.067547,58.4729,61.582924,70.85983,62.767136,57.59867,58.191296
55.229,55.113914,55.067554,58.462334,60.521374,51.26548,63.34355,56.565228,55.30419
62.062,51.23811,55.06755,58.469852,61.679405,56.128216,56.001987,60.96731,62.64825
55.982,51.30111,55.067554,58.12551,62.64284,52.618282,63.637524,57.346066,55.6214
63.945,57.260864,55.06755,58.225803,59.98101,50.07215,57.889122,63.623817,62.788425
65.417,59.537823,55.067554,58.47597,60.4745,65.92737,56.204502,64.48502,64.87482
55.37,45.661095,55.067554,58.474464,62.148453,56.38678,58.155403,57.701492,55.827015
60.808,47.372066,55.06755,58.47604,60.09973,46.069534,59.4666,62.048374,60.380573
58.002,49.600037,55.067547,58.479485,62.344402,57.679012,64.37995,57.87846,58.63249
53.959,40.862026,55.067554,58.47838,56.224632,59.18081,55.60221,54.892223,53.89326
54.156,44.400608,55.067547,58.478115,61.61747,55.049896,52.4372,55.612698,55.100155
