数据时间,车辆状态,累计里程,总电压,总电流,电池单体电压最高值,电池单体电压最低值,最高温度值,最低温度值,可充电储能子系统各温度探针检测到的温度值,可充电储能装置电压,可充电储能装置电流,单体电池电压,驾驶习惯,充电量
2022-03-06 06:30:18,2.455,356389.236,346.525,-86.02,3.865,3.84,30.886,28.455,29.134,346.525,-86.02,3.849,7.532,20.629
2022-03-06 16:35:18,2.0,204560.7,353.167,-87.213,3.937,3.909,29.821,25.744,27.026,353.167,-87.213,3.924,7.824,18.439
2022-03-07 17:53:38,2.39,356942.4,365.525,-58.153,4.081,4.049,29.373,27.271,28.194,365.525,-58.153,4.062,8.165,18.665
2022-03-08 03:24:48,2.0,126934.3,358.425,-84.802,3.992,3.951,29.377,26.66,27.846,358.425,-84.802,3.984,7.659,49.469
2022-03-08 05:41:48,2.0,363798.1,360.673,-81.947,4.019,3.988,30.669,28.347,29.533,360.673,-81.947,4.007,7.939,56.004
2022-03-08 18:17:28,2.343,357349.5,347.736,-83.121,3.878,3.854,30.716,28.552,29.072,347.736,-83.121,3.863,7.961,30.542
2022-03-09 00:37:58,2.0,232033.8,356.36,-80.287,3.973,3.941,30.111,27.194,28.433,356.36,-80.287,3.961,7.775,63.831
2022-03-09 01:50:08,2.0,264598.4,357.399,-88.833,3.984,3.95,29.315,26.492,27.799,357.399,-88.833,3.971,7.893,63.698
2022-03-09 03:11:28,2.0,127377.2,357.723,-90.197,3.984,3.942,29.758,26.924,28.025,357.723,-90.197,3.976,7.431,65.673
2022-03-09 03:28:58,2.0,221361.2,359.405,-79.487,4.001,3.956,29.776,27.112,28.41,359.405,-79.487,3.993,7.584,58.754
2022-03-09 04:42:18,2.0,316901.3,358.889,-84.941,3.998,3.965,31.326,27.891,29.575,358.889,-84.941,3.985,8.024,60.412
2022-03-09 04:42:58,2.0,308723.2,356.893,-87.834,3.98,3.95,30.433,27.015,28.953,356.893,-87.834,3.966,8.087,65.031
2022-03-09 05:51:18,2.0,231980.4,360.146,-78.666,4.017,3.984,30.415,27.692,29.321,360.146,-78.666,4.002,7.885,56.378
2022-03-09 05:57:28,2.0,246165.9,358.796,-88.498,4.002,3.969,35.194,29.661,33.194,358.796,-88.498,3.985,7.586,60.501
2022-03-10 02:04:48,2.0,299746.0,356.972,-86.499,3.98,3.948,30.507,27.754,28.78,356.972,-86.499,3.965,7.602,64.178
2022-03-10 02:24:38,2.0,264798.9,356.709,-78.626,3.976,3.943,28.809,26.121,27.086,356.709,-78.626,3.963,7.415,61.371
2022-03-10 04:19:18,2.0,127769.3,357.381,-89.911,3.98,3.938,29.797,26.917,27.91,357.381,-89.911,3.972,7.497,66.234
2022-03-10 05:04:48,2.0,302879.2,356.732,-68.132,3.981,3.942,29.652,27.062,28.211,356.732,-68.132,3.968,7.889,60.521
2022-03-10 05:06:38,1.993,309276.6,355.386,-85.024,3.963,3.934,30.719,27.511,29.253,355.386,-85.024,3.95,7.807,65.481
2022-03-10 05:14:28,2.0,317383.1,359.788,-83.282,4.008,3.976,31.232,28.408,29.409,359.788,-83.282,3.995,7.763,57.379
2022-03-10 05:32:18,2.0,246675.0,359.065,-84.416,4.005,3.973,31.047,27.85,29.573,359.065,-84.416,3.989,7.45,59.101
2022-03-10 05:40:38,2.0,232442.3,359.02,-83.085,4.003,3.972,30.785,28.477,29.518,359.02,-83.085,3.99,7.725,59.555
2022-03-10 06:08:38,2.385,358089.3,356.999,-77.905,3.984,3.954,30.147,27.685,28.908,356.999,-77.905,3.966,7.941,61.494
2022-03-10 14:57:18,2.0,127936.6,356.724,-86.717,3.973,3.931,30.388,27.065,28.133,356.724,-86.717,3.965,7.825,66.499
2022-03-10 16:12:48,2.0,317586.4,357.212,-85.22,3.98,3.95,31.71,28.486,29.605,357.212,-85.22,3.967,8.005,64.887
2022-03-11 02:32:48,2.0,128136.4,356.396,-84.189,3.969,3.928,30.652,27.745,28.825,356.396,-84.189,3.962,7.803,65.478
2022-03-11 03:24:58,2.0,221830.3,357.296,-80.056,3.977,3.934,29.914,27.243,28.213,357.296,-80.056,3.969,7.668,62.149
2022-03-11 05:13:58,2.0,317829.3,360.691,-82.42,4.019,3.986,31.46,28.968,29.869,360.691,-82.42,4.005,7.77,56.325
2022-03-11 05:50:08,1.0,232867.8,358.437,-83.884,3.997,3.966,30.677,28.241,29.18,358.437,-83.884,3.983,7.878,61.529
2022-03-11 15:13:08,2.0,128312.5,357.094,-89.065,3.977,3.935,31.276,27.746,28.895,357.094,-89.065,3.969,7.869,65.839
2022-03-12 03:19:48,2.0,128543.8,359.083,-87.34,3.999,3.955,29.341,26.605,27.671,359.083,-87.34,3.991,7.751,62.135
2022-03-12 04:21:08,2.0,277928.4,358.078,-86.788,3.987,3.948,30.786,28.076,29.39,358.078,-86.788,3.976,7.894,62.901
2022-03-12 06:16:18,2.0,233374.4,360.356,-79.397,4.019,3.987,30.867,28.375,29.359,360.356,-79.397,4.005,7.825,56.02
2022-03-12 15:02:48,2.0,128749.0,357.338,-86.381,3.98,3.937,32.486,28.768,30.008,357.338,-86.381,3.972,7.852,65.766
2022-03-12 17:08:28,1.964,233563.2,356.384,-79.514,3.973,3.943,32.129,28.793,29.833,356.384,-79.514,3.961,7.946,61.709
2022-03-12 18:45:48,2.362,359311.3,356.954,-72.287,3.984,3.954,30.47,28.195,29.077,356.954,-72.287,3.966,7.776,59.488
2022-03-13 04:04:18,2.0,278212.7,357.528,-88.081,3.981,3.942,29.985,27.649,28.674,357.528,-88.081,3.97,8.01,65.118
2022-03-13 04:20:58,2.0,128990.5,358.66,-87.792,3.994,3.951,31.465,28.659,29.761,358.66,-87.792,3.987,7.82,62.452
2022-03-13 05:13:28,2.0,310605.4,360.085,-84.395,4.015,3.984,29.902,27.171,28.168,360.085,-84.395,4.002,7.952,57.204
2022-03-13 05:15:18,2.0,304176.0,358.253,-77.106,3.997,3.958,30.101,27.525,28.656,358.253,-77.106,3.984,7.731,59.159
2022-03-13 05:52:08,2.0,248172.7,358.305,-86.122,3.996,3.965,29.42,27.321,28.333,358.305,-86.122,3.98,7.802,62.221
2022-03-13 06:19:08,2.0,233850.8,359.857,-81.194,4.013,3.981,30.555,27.883,29.001,359.857,-81.194,3.999,7.922,57.294
